time,cost_of_transfer_usd,cost_of_transfer_eth
2023-07-02 21:00:00.000 UTC,,0.000294699220452
2022-09-14 00:00:00.000 UTC,0.4339082716918344,0.000264993478617
2023-08-03 17:00:00.000 UTC,,0.000925688163372
2023-01-29 10:00:00.000 UTC,,0.000334215664881
2022-05-18 17:00:00.000 UTC,,0.000850389801555
2023-03-08 11:00:00.000 UTC,,0.000436427689782
2022-10-30 14:00:00.000 UTC,,0.000205045215165
2022-02-21 21:00:00.000 UTC,,0.001998441491256
2022-06-05 22:00:00.000 UTC,,0.000859145141799
2021-10-14 07:00:00.000 UTC,,0.001698565123122
2023-07-19 03:00:00.000 UTC,,0.000537671576505
2021-10-27 08:00:00.000 UTC,,0.004554203121489
2021-12-21 07:00:00.000 UTC,,0.001119006912261
2022-10-28 18:00:00.000 UTC,,0.000496060984902
2022-09-22 19:00:00.000 UTC,,0.000305945059014
2022-06-25 09:00:00.000 UTC,,0.000466684058967
2022-03-14 22:00:00.000 UTC,,0.000863263813818
2022-06-20 20:00:00.000 UTC,,0.000515148734415
2021-12-10 22:00:00.000 UTC,,0.001853347861659
2021-11-24 18:00:00.000 UTC,,0.003006945481134
2022-10-06 00:00:00.000 UTC,0.2801959975978053,0.000207213374844
2023-06-18 10:00:00.000 UTC,,0.000316865186715
2022-05-31 17:00:00.000 UTC,,0.001153745195904
2022-12-16 09:00:00.000 UTC,,0.000360536708742
2022-10-14 23:00:00.000 UTC,,0.000326340289254
2022-08-03 14:00:00.000 UTC,,0.000387782794308
2022-03-06 18:00:00.000 UTC,,0.006832882514472
2022-05-06 07:00:00.000 UTC,,0.000783566380527
2023-07-10 01:00:00.000 UTC,,0.000317550736356
2021-12-01 04:00:00.000 UTC,,0.003026596982535
2023-03-22 06:00:00.000 UTC,,0.000266507539809
2023-01-01 21:00:00.000 UTC,,0.000345934537011
2023-02-11 03:00:00.000 UTC,,0.000394607707704
2023-03-24 02:00:00.000 UTC,,0.000332167404618
2022-11-24 03:00:00.000 UTC,,0.000341916360807
2022-12-02 02:00:00.000 UTC,,0.000251429841768
2022-11-18 21:00:00.000 UTC,,0.000289255761606
2023-03-17 01:00:00.000 UTC,,0.000388235692824
2023-01-24 02:00:00.000 UTC,,0.000332886070545
2022-10-03 00:00:00.000 UTC,0.19131702455874647,0.000144607391145
2022-11-19 05:00:00.000 UTC,,0.000265876227183
2021-12-25 01:00:00.000 UTC,,0.001186781236662
2021-10-25 11:00:00.000 UTC,,0.001415524021464
2022-01-05 15:00:00.000 UTC,,0.003203875009881
2022-08-18 20:00:00.000 UTC,,0.000266938156464
2023-01-06 14:00:00.000 UTC,,0.000539466942966
2023-07-25 11:00:00.000 UTC,,0.000496706014434
2022-09-03 08:00:00.000 UTC,,0.000149435739348
2022-07-06 05:00:00.000 UTC,,0.000402994843608
2022-07-06 12:00:00.000 UTC,,0.000471694490022
2022-07-06 04:00:00.000 UTC,,0.000546044149665
2023-06-25 08:00:00.000 UTC,,0.000279726947598
2022-04-26 10:00:00.000 UTC,,0.000572391580299
2022-04-17 19:00:00.000 UTC,,0.000565278252147
2022-10-25 06:00:00.000 UTC,,0.000254679607812
2022-05-18 06:00:00.000 UTC,,0.000432569535321
2022-04-08 05:00:00.000 UTC,,0.000832655027442
2022-12-12 07:00:00.000 UTC,,0.000299794797099
2022-12-14 23:00:00.000 UTC,,0.000295851354456
2022-07-03 19:00:00.000 UTC,,0.000530829367677
2022-07-26 03:00:00.000 UTC,,0.000747657392937
2021-10-22 19:00:00.000 UTC,,0.00219089750334
2021-10-22 11:00:00.000 UTC,,0.001230365952942
2023-03-20 08:00:00.000 UTC,,0.00030521128911
2022-10-10 20:00:00.000 UTC,,0.0008383841718
2021-12-07 15:00:00.000 UTC,,0.002125129300749
2022-05-22 07:00:00.000 UTC,,0.000289480407972
